sample_ID,temperature,nutrients,composition,mean_sum_interactions,mean_interaction_strength
CDLP_Tmp_18_21_Nut0.35_1,18-21,0.35,CDLP,2.412929914345355,0.8043099714484516
CDLP_Tmp_18_21_Nut0.35_2,18-21,0.35,CDLP,0.8719023516451365,0.43595117582256826
CDLP_Tmp_18_21_Nut0.35_3,18-21,0.35,CDLP,1.3690776607138337,0.45635922023794456
CDLP_Tmp_25_28_Nut0.75_1,25-28,0.75,CDLP,2.9258369955544525,0.5851673991108904
CDLP_Tmp_25_28_Nut0.75_2,25-28,0.75,CDLP,0.25954641659912026,0.25954641659912026
CDLS_Tmp_18_21_Nut0.01_1,18-21,0.01,CDLS,2.085059586187312,1.042529793093656
CDLS_Tmp_18_21_Nut0.01_3,18-21,0.01,CDLS,8.506187281797029,8.506187281797029
CDLS_Tmp_18_21_Nut0.35_1,18-21,0.35,CDLS,1.5128627205610947,0.7564313602805474
CDLS_Tmp_18_21_Nut0.35_2,18-21,0.35,CDLS,1.8793945990824925,0.9396972995412463
CDLS_Tmp_18_21_Nut0.75_2,18-21,0.75,CDLS,0.8911216377233083,0.8911216377233083
CDLS_Tmp_18_21_Nut0.75_3,18-21,0.75,CDLS,5.670723999551411,1.4176809998878528
CDLS_Tmp_22_25_Nut0.01_1,22-25,0.01,CDLS,1.77930187553583,0.889650937767915
CDLS_Tmp_22_25_Nut0.75_1,22-25,0.75,CDLS,8.26139422717913,2.0653485567947825
CDLS_Tmp_22_25_Nut0.75_2,22-25,0.75,CDLS,1.1268168064553068,1.1268168064553068
CDLS_Tmp_22_25_Nut0.75_3,22-25,0.75,CDLS,1.7390958385855382,0.8695479192927691
CDLS_Tmp_25_28_Nut0.01_1,25-28,0.01,CDLS,0.6393477231703114,0.6393477231703114
CDLS_Tmp_25_28_Nut0.01_3,25-28,0.01,CDLS,18.66860924327201,18.66860924327201
CDLS_Tmp_25_28_Nut0.35_1,25-28,0.35,CDLS,4.598933897702448,1.532977965900816
CDLS_Tmp_25_28_Nut0.35_2,25-28,0.35,CDLS,1.9195195273883283,0.9597597636941642
CDLS_Tmp_25_28_Nut0.35_3,25-28,0.35,CDLS,1.9401810393743728,0.6467270131247909
CDL_Tmp_22_25_Nut0.01_3,22-25,0.01,CDL,1.7112370981580467,1.7112370981580467
CDL_Tmp_22_25_Nut0.35_2,22-25,0.35,CDL,1.3420991589151468,1.3420991589151468
CDL_Tmp_22_25_Nut0.35_3,22-25,0.35,CDL,0.8137377101197407,0.8137377101197407
CDPS_Tmp_18_21_Nut0.01_1,18-21,0.01,CDPS,1.1214206310115895,1.1214206310115895
CDPS_Tmp_18_21_Nut0.01_3,18-21,0.01,CDPS,0.16827958011821814,0.16827958011821814
CDPS_Tmp_18_21_Nut0.35_1,18-21,0.35,CDPS,1.494938468986178,0.4983128229953927
CDPS_Tmp_18_21_Nut0.35_2,18-21,0.35,CDPS,1.8591156217366276,0.9295578108683138
CDPS_Tmp_18_21_Nut0.35_3,18-21,0.35,CDPS,1.2013999491364358,1.2013999491364358
CDPS_Tmp_18_21_Nut0.75_2,18-21,0.75,CDPS,3.1166947669050704,1.0388982556350235
CDPS_Tmp_22_25_Nut0.35_1,22-25,0.35,CDPS,1.320987867200204,1.320987867200204
CDPS_Tmp_22_25_Nut0.35_3,22-25,0.35,CDPS,2.9888858565421805,0.7472214641355451
CDPS_Tmp_25_28_Nut0.01_2,25-28,0.01,CDPS,0.8612770301967603,0.8612770301967603
CDPS_Tmp_25_28_Nut0.35_2,25-28,0.35,CDPS,0.8485908669947768,0.4242954334973884
CDPS_Tmp_25_28_Nut0.35_3,25-28,0.35,CDPS,1.4554712975409887,1.4554712975409887
CDPS_Tmp_25_28_Nut0.75_1,25-28,0.75,CDPS,3.2907783958341064,0.6581556791668213
CDPS_Tmp_25_28_Nut0.75_2,25-28,0.75,CDPS,1.245652073088819,0.41521735769627294
CDPS_Tmp_25_28_Nut0.75_3,25-28,0.75,CDPS,3.4979412462213535,1.1659804154071178
CDP_Tmp_18_21_Nut0.75_2,18-21,0.75,CDP,0.9406073327701341,0.9406073327701341
CDP_Tmp_18_21_Nut0.75_3,18-21,0.75,CDP,0.7779818622150512,0.7779818622150512
CDP_Tmp_22_25_Nut0.01_3,22-25,0.01,CDP,8.984094178070775,2.9946980593569252
CDS_Tmp_18_21_Nut0.35_1,18-21,0.35,CDS,2.11885534307058,1.05942767153529
CDS_Tmp_18_21_Nut0.35_3,18-21,0.35,CDS,1.6788226764253338,1.6788226764253338
CDS_Tmp_22_25_Nut0.35_1,22-25,0.35,CDS,1.0858630573045773,1.0858630573045773
CDS_Tmp_22_25_Nut0.35_3,22-25,0.35,CDS,1.8781265476077027,0.9390632738038514
CDS_Tmp_22_25_Nut0.75_1,22-25,0.75,CDS,5.4572617106484635,1.3643154276621159
CDS_Tmp_22_25_Nut0.75_2,22-25,0.75,CDS,3.997924517945608,1.998962258972804
CDS_Tmp_22_25_Nut0.75_3,22-25,0.75,CDS,2.273779795864196,1.136889897932098
CDS_Tmp_25_28_Nut0.35_1,25-28,0.35,CDS,1.2496368882446802,1.2496368882446802
CDS_Tmp_25_28_Nut0.35_2,25-28,0.35,CDS,1.188242894422135,1.188242894422135
CDS_Tmp_25_28_Nut0.75_1,25-28,0.75,CDS,1.8227058532622913,0.6075686177540971
CDS_Tmp_25_28_Nut0.75_2,25-28,0.75,CDS,3.0002193840959954,1.5001096920479977
CDS_Tmp_25_28_Nut0.75_3,25-28,0.75,CDS,0.2695320417422059,0.2695320417422059
CD_Tmp_22_25_Nut0.35_1,22-25,0.35,CD,1.3450518211647013,1.3450518211647013
CD_Tmp_22_25_Nut0.35_2,22-25,0.35,CD,1.3749101964051074,1.3749101964051074
CD_Tmp_22_25_Nut0.35_3,22-25,0.35,CD,1.0631397369008062,1.0631397369008062
CLPS_Tmp_18_21_Nut0.01_1,18-21,0.01,CLPS,1.7314900001429092,1.7314900001429092
CLPS_Tmp_18_21_Nut0.01_3,18-21,0.01,CLPS,8.064572636301737,8.064572636301737
CLPS_Tmp_18_21_Nut0.75_1,18-21,0.75,CLPS,1.5723352349366406,0.7861676174683203
CLPS_Tmp_18_21_Nut0.75_3,18-21,0.75,CLPS,1.0561943018384767,1.0561943018384767
CLPS_Tmp_22_25_Nut0.01_1,22-25,0.01,CLPS,2.3144517258118094,1.1572258629059047
CLPS_Tmp_22_25_Nut0.01_2,22-25,0.01,CLPS,5.709104267296824,2.8545521336484114
