"","treatment","richness","composition","mean_divergence","temperature","nutrients"
"1","Tmp_18_21_Nut0.01",2,"CL",0.150982987213729,"18-21 °C","0.01 g/L"
"2","Tmp_18_21_Nut0.01",2,"DP",0.0370625417475666,"18-21 °C","0.01 g/L"
"3","Tmp_18_21_Nut0.01",2,"DS",0.054249147959042,"18-21 °C","0.01 g/L"
"4","Tmp_18_21_Nut0.01",3,"CLP",0.33681671008856,"18-21 °C","0.01 g/L"
"5","Tmp_18_21_Nut0.01",3,"CLS",0.136498357314569,"18-21 °C","0.01 g/L"
"6","Tmp_18_21_Nut0.01",3,"DPS",0.329234383759946,"18-21 °C","0.01 g/L"
"7","Tmp_18_21_Nut0.01",4,"CDLS",0.136498357314569,"18-21 °C","0.01 g/L"
"8","Tmp_18_21_Nut0.01",4,"CDPS",0.311178998308352,"18-21 °C","0.01 g/L"
"9","Tmp_18_21_Nut0.01",4,"CLPS",0.311178998308352,"18-21 °C","0.01 g/L"
"10","Tmp_18_21_Nut0.35",2,"CD",0.284522227998803,"18-21 °C","0.35 g/L"
"11","Tmp_18_21_Nut0.35",2,"DL",0,"18-21 °C","0.35 g/L"
"12","Tmp_18_21_Nut0.35",2,"LP",0,"18-21 °C","0.35 g/L"
"13","Tmp_18_21_Nut0.35",3,"CDS",0.0913640336159723,"18-21 °C","0.35 g/L"
"14","Tmp_18_21_Nut0.35",3,"CLP",0.108848643305297,"18-21 °C","0.35 g/L"
"15","Tmp_18_21_Nut0.35",3,"DLS",0,"18-21 °C","0.35 g/L"
"16","Tmp_18_21_Nut0.35",4,"CDLP",0.108848643305297,"18-21 °C","0.35 g/L"
"17","Tmp_18_21_Nut0.35",4,"CDLS",0.0913640336159723,"18-21 °C","0.35 g/L"
"18","Tmp_18_21_Nut0.35",4,"CDPS",0.0913640336159723,"18-21 °C","0.35 g/L"
"19","Tmp_18_21_Nut0.75",2,"DS",0,"18-21 °C","0.75 g/L"
"20","Tmp_18_21_Nut0.75",2,"LP",0.0354064418960726,"18-21 °C","0.75 g/L"
"21","Tmp_18_21_Nut0.75",2,"LS",0.122352913161872,"18-21 °C","0.75 g/L"
"22","Tmp_18_21_Nut0.75",3,"CDP",0.174868661378143,"18-21 °C","0.75 g/L"
"23","Tmp_18_21_Nut0.75",3,"CLP",0.422214163471573,"18-21 °C","0.75 g/L"
"24","Tmp_18_21_Nut0.75",3,"DLS",0.0279485713120447,"18-21 °C","0.75 g/L"
"25","Tmp_18_21_Nut0.75",4,"CDLS",0.414756292887545,"18-21 °C","0.75 g/L"
"26","Tmp_18_21_Nut0.75",4,"CDPS",0.174868661378143,"18-21 °C","0.75 g/L"
"27","Tmp_18_21_Nut0.75",4,"CLPS",0.422214163471573,"18-21 °C","0.75 g/L"
"28","Tmp_22_25_Nut0.01",2,"CP",0,"22-25 °C","0.01 g/L"
"29","Tmp_22_25_Nut0.01",2,"CS",0.00400277121704507,"22-25 °C","0.01 g/L"
"30","Tmp_22_25_Nut0.01",2,"DS",0.0418654263248843,"22-25 °C","0.01 g/L"
"31","Tmp_22_25_Nut0.01",3,"CDL",0.259798227415375,"22-25 °C","0.01 g/L"
"32","Tmp_22_25_Nut0.01",3,"CDP",0,"22-25 °C","0.01 g/L"
"33","Tmp_22_25_Nut0.01",3,"DLS",0.351234125005278,"22-25 °C","0.01 g/L"
"34","Tmp_22_25_Nut0.01",4,"CDLS",0.26380099863242,"22-25 °C","0.01 g/L"
"35","Tmp_22_25_Nut0.01",4,"CDPS",0.00400277121704507,"22-25 °C","0.01 g/L"
"36","Tmp_22_25_Nut0.01",4,"CLPS",0.26380099863242,"22-25 °C","0.01 g/L"
"37","Tmp_22_25_Nut0.35",2,"CD",0,"22-25 °C","0.35 g/L"
"38","Tmp_22_25_Nut0.35",2,"DL",0.0733440030230924,"22-25 °C","0.35 g/L"
"39","Tmp_22_25_Nut0.35",2,"LS",0.198645378023429,"22-25 °C","0.35 g/L"
"40","Tmp_22_25_Nut0.35",3,"CDL",0.390226906623657,"22-25 °C","0.35 g/L"
"41","Tmp_22_25_Nut0.35",3,"CDS",0,"22-25 °C","0.35 g/L"
"42","Tmp_22_25_Nut0.35",3,"DLS",0.198645378023429,"22-25 °C","0.35 g/L"
"43","Tmp_22_25_Nut0.35",4,"CDPS",0,"22-25 °C","0.35 g/L"
"44","Tmp_22_25_Nut0.35",4,"CLPS",0.390226906623657,"22-25 °C","0.35 g/L"
"45","Tmp_22_25_Nut0.35",4,"DLPS",0.198645378023429,"22-25 °C","0.35 g/L"
"46","Tmp_22_25_Nut0.75",2,"CP",0.0623898863648342,"22-25 °C","0.75 g/L"
"47","Tmp_22_25_Nut0.75",2,"LS",0.258621846720259,"22-25 °C","0.75 g/L"
"48","Tmp_22_25_Nut0.75",2,"PS",0,"22-25 °C","0.75 g/L"
"49","Tmp_22_25_Nut0.75",3,"CDS",0.067567298409669,"22-25 °C","0.75 g/L"
"50","Tmp_22_25_Nut0.75",3,"CLP",0.678899600693245,"22-25 °C","0.75 g/L"
"51","Tmp_22_25_Nut0.75",3,"LPS",0.258621846720259,"22-25 °C","0.75 g/L"
"52","Tmp_22_25_Nut0.75",4,"CDLS",0.678899600693245,"22-25 °C","0.75 g/L"
"53","Tmp_22_25_Nut0.75",4,"CLPS",0.678899600693245,"22-25 °C","0.75 g/L"
"54","Tmp_22_25_Nut0.75",4,"DLPS",0.258621846720259,"22-25 °C","0.75 g/L"
"55","Tmp_25_28_Nut0.01",2,"CD",0.0529685469817753,"25-28 °C","0.01 g/L"
"56","Tmp_25_28_Nut0.01",2,"CP",0.0874093400282524,"25-28 °C","0.01 g/L"
"57","Tmp_25_28_Nut0.01",2,"DS",0,"25-28 °C","0.01 g/L"
"58","Tmp_25_28_Nut0.01",3,"CPS",0.0966626731069928,"25-28 °C","0.01 g/L"
"59","Tmp_25_28_Nut0.01",3,"DPS",0,"25-28 °C","0.01 g/L"
"60","Tmp_25_28_Nut0.01",3,"LPS",0.50850373404523,"25-28 °C","0.01 g/L"
"61","Tmp_25_28_Nut0.01",4,"CDLS",0.356460900522368,"25-28 °C","0.01 g/L"
"62","Tmp_25_28_Nut0.01",4,"CDPS",0.0966626731069928,"25-28 °C","0.01 g/L"
"63","Tmp_25_28_Nut0.01",4,"CLPS",0.356460900522368,"25-28 °C","0.01 g/L"
"64","Tmp_25_28_Nut0.35",2,"CD",0,"25-28 °C","0.35 g/L"
"65","Tmp_25_28_Nut0.35",2,"DL",0.141329426639026,"25-28 °C","0.35 g/L"
"66","Tmp_25_28_Nut0.35",2,"LS",0.299632113224813,"25-28 °C","0.35 g/L"
"67","Tmp_25_28_Nut0.35",3,"CDS",0,"25-28 °C","0.35 g/L"
"68","Tmp_25_28_Nut0.35",3,"CLP",0.756838207370603,"25-28 °C","0.35 g/L"
"69","Tmp_25_28_Nut0.35",3,"DLS",0.299632113224813,"25-28 °C","0.35 g/L"
"70","Tmp_25_28_Nut0.35",4,"CDLS",0.756838207370603,"25-28 °C","0.35 g/L"
"71","Tmp_25_28_Nut0.35",4,"CDPS",0,"25-28 °C","0.35 g/L"
"72","Tmp_25_28_Nut0.35",4,"DLPS",0.299632113224813,"25-28 °C","0.35 g/L"
"73","Tmp_25_28_Nut0.75",2,"CP",0,"25-28 °C","0.75 g/L"
"74","Tmp_25_28_Nut0.75",2,"CS",0,"25-28 °C","0.75 g/L"
"75","Tmp_25_28_Nut0.75",2,"PS",0,"25-28 °C","0.75 g/L"
"76","Tmp_25_28_Nut0.75",3,"CDS",0,"25-28 °C","0.75 g/L"
"77","Tmp_25_28_Nut0.75",3,"CLS",0.518702615118537,"25-28 °C","0.75 g/L"
"78","Tmp_25_28_Nut0.75",3,"LPS",0.408382030967432,"25-28 °C","0.75 g/L"
"79","Tmp_25_28_Nut0.75",4,"CDLP",0.518702615118537,"25-28 °C","0.75 g/L"
"80","Tmp_25_28_Nut0.75",4,"CDPS",0,"25-28 °C","0.75 g/L"
"81","Tmp_25_28_Nut0.75",4,"DLPS",0.408382030967432,"25-28 °C","0.75 g/L"
