nutrients,maxT_y,minT_y,temperature,species,species_initial,slope
0.01 g/L,-0.0433340363320782,0.0627507972753703,18-21 °C,Colpidium,C,-0.0353616112024828
0.01 g/L,0.251500953884746,0.255191633309874,18-21 °C,Dexiostoma,D,-0.00123022647504293
0.01 g/L,0.010716826529282,0.215894052240143,18-21 °C,Loxocephalus,L,-0.0683924085702869
0.01 g/L,0.141109203039519,0.0785786250299976,18-21 °C,Paramecium,P,0.0208435260031737
0.01 g/L,-0.181569551499503,-0.0214341661845432,18-21 °C,Spirostomum,S,-0.0533784617716532
0.35 g/L,0.233350890515588,0.237344363061333,18-21 °C,Colpidium,C,-0.00133115751524833
0.35 g/L,0.538971884819273,0.569891407262373,18-21 °C,Dexiostoma,D,-0.0103065074810333
0.35 g/L,0.247474402778632,0.385728240358702,18-21 °C,Loxocephalus,L,-0.0460846125266901
0.35 g/L,0.262842984990811,0.289703495391952,18-21 °C,Paramecium,P,-0.00895350346704702
0.35 g/L,-0.0886736768730312,-0.001328930897526,18-21 °C,Spirostomum,S,-0.0291149153251684
0.75 g/L,0.479347455816656,0.427552393882874,18-21 °C,Colpidium,C,0.0172650206445941
0.75 g/L,0.661309578592765,0.7344772983841,18-21 °C,Dexiostoma,D,-0.0243892399304452
0.75 g/L,0.507574602805178,0.54553611082617,18-21 °C,Loxocephalus,L,-0.0126538360069972
0.75 g/L,0.416628880348834,0.474757923074412,18-21 °C,Paramecium,P,-0.0193763475751928
0.75 g/L,0.00980211637820126,0.0225992992506483,18-21 °C,Spirostomum,S,-0.00426572762414901
0.01 g/L,-1.19728940246467,-0.21715802451302,22-25 °C,Colpidium,C,-0.326710459317215
0.01 g/L,0.16333731684808,0.235246951666573,22-25 °C,Dexiostoma,D,-0.0239698782728309
0.01 g/L,-0.0960263753312378,-0.0716194856496759,22-25 °C,Loxocephalus,L,-0.00813562989385397
0.01 g/L,0.0813579577244424,0.13302706069881,22-25 °C,Paramecium,P,-0.0172230343247892
0.01 g/L,-0.241020368887401,-0.189417511250537,22-25 °C,Spirostomum,S,-0.0172009525456216
0.35 g/L,-0.240419086323341,0.211551399832503,22-25 °C,Colpidium,C,-0.150656828718615
0.35 g/L,0.484975804728929,0.52701592511101,22-25 °C,Dexiostoma,D,-0.0140133734606939
0.35 g/L,0.284798567607973,0.167069359281471,22-25 °C,Loxocephalus,L,0.0392430694421674
0.35 g/L,0.222018753388597,0.253542199629017,22-25 °C,Paramecium,P,-0.0105078154134734
0.35 g/L,-0.161777959493338,-0.092462951759398,22-25 °C,Spirostomum,S,-0.0231050025779799
0.75 g/L,0.472436126315788,0.556495449487073,22-25 °C,Colpidium,C,-0.0280197743904285
0.75 g/L,0.617893365727907,0.652264512662277,22-25 °C,Dexiostoma,D,-0.0114570489781233
0.75 g/L,0.557334303062731,0.460944269799306,22-25 °C,Loxocephalus,L,0.0321300110878086
0.75 g/L,0.386392446908763,0.408639019986173,22-25 °C,Paramecium,P,-0.00741552435913678
0.75 g/L,-0.0727945386794509,0.00947348509562018,22-25 °C,Spirostomum,S,-0.0274226745916904
0.01 g/L,-0.350884169612541,-1.19728940246467,25-28 °C,Colpidium,C,0.282135077617375
0.01 g/L,0.0653985697256562,0.16333731684808,25-28 °C,Dexiostoma,D,-0.0326462490408079
0.01 g/L,0.694526468435749,-0.0960263753312378,25-28 °C,Loxocephalus,L,0.263517614588996
0.01 g/L,-0.0528600649305906,0.0813579577244424,25-28 °C,Paramecium,P,-0.044739340885011
0.01 g/L,-0.445224319075147,-0.241020368887401,25-28 °C,Spirostomum,S,-0.0680679833959151
0.35 g/L,-3.21064148983917,-0.240419086323341,25-28 °C,Colpidium,C,-0.990074134505276
0.35 g/L,0.356501339662987,0.484975804728929,25-28 °C,Dexiostoma,D,-0.0428248216886474
0.35 g/L,2.04758889920853,0.284798567607973,25-28 °C,Loxocephalus,L,0.587596777200185
0.35 g/L,0.106542628247284,0.222018753388597,25-28 °C,Paramecium,P,-0.0384920417137711
0.35 g/L,-0.403744100126632,-0.161777959493338,25-28 °C,Spirostomum,S,-0.0806553802110981
0.75 g/L,-4.27630653601469,0.472436126315788,25-28 °C,Colpidium,C,-1.58291422077683
0.75 g/L,0.485968003482824,0.617893365727907,25-28 °C,Dexiostoma,D,-0.0439751207483611
0.75 g/L,1.8703542690202,0.557334303062731,25-28 °C,Loxocephalus,L,0.437673321985823
0.75 g/L,0.301464042179055,0.386392446908763,25-28 °C,Paramecium,P,-0.0283094682432359
0.75 g/L,-0.343854982326614,-0.0727945386794509,25-28 °C,Spirostomum,S,-0.0903534812157209
