"","time","treatment","temperature","nutrients","dissimilarity","divergence","species","composition","richness"
"1",1,"Tmp_18_21_Nut0.01",18,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"2",1,"Tmp_18_21_Nut0.35",18,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"3",1,"Tmp_18_21_Nut0.75",18,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"4",1,"Tmp_22_25_Nut0.01",22,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"5",1,"Tmp_22_25_Nut0.35",22,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"6",1,"Tmp_22_25_Nut0.75",22,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"7",1,"Tmp_25_28_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"8",1,"Tmp_25_28_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"9",1,"Tmp_25_28_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"10",2,"Tmp_18_21_Nut0.01",18,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"11",2,"Tmp_18_21_Nut0.35",18,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"12",2,"Tmp_18_21_Nut0.75",18,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"13",2,"Tmp_22_25_Nut0.01",22,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"14",2,"Tmp_22_25_Nut0.35",22,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"15",2,"Tmp_22_25_Nut0.75",22,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"16",2,"Tmp_25_28_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"17",2,"Tmp_25_28_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"18",2,"Tmp_25_28_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"19",3,"Tmp_18_21_Nut0.01",18,0.01,1.00351719913579,0,"Colpidium_Dexiostoma","CD",2
"20",3,"Tmp_18_21_Nut0.35",18,0.35,1.00680877423717,0.569044455997606,"Colpidium_Dexiostoma","CD",2
"21",3,"Tmp_18_21_Nut0.75",18,0.75,1.0121806065558,0,"Colpidium_Dexiostoma","CD",2
"22",3,"Tmp_22_25_Nut0.01",22,0.01,1.09898387600416,0,"Colpidium_Dexiostoma","CD",2
"23",3,"Tmp_22_25_Nut0.35",22,0.35,1.01213402898927,0,"Colpidium_Dexiostoma","CD",2
"24",3,"Tmp_22_25_Nut0.75",22,0.75,1.0443765575642,0.135134596819338,"Colpidium_Dexiostoma","CD",2
"25",3,"Tmp_25_28_Nut0.01",25,0.01,1.13817141995113,0,"Colpidium_Dexiostoma","CD",2
"26",3,"Tmp_25_28_Nut0.35",25,0.35,1.18089853310021,0,"Colpidium_Dexiostoma","CD",2
"27",3,"Tmp_25_28_Nut0.75",25,0.75,1.18015578390679,0,"Colpidium_Dexiostoma","CD",2
"28",4,"Tmp_18_21_Nut0.01",21,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"29",4,"Tmp_18_21_Nut0.35",21,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"30",4,"Tmp_18_21_Nut0.75",21,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"31",4,"Tmp_22_25_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"32",4,"Tmp_22_25_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"33",4,"Tmp_22_25_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"34",4,"Tmp_25_28_Nut0.01",28,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"35",4,"Tmp_25_28_Nut0.35",28,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"36",4,"Tmp_25_28_Nut0.75",28,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"37",5,"Tmp_18_21_Nut0.01",21,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"38",5,"Tmp_18_21_Nut0.35",21,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"39",5,"Tmp_18_21_Nut0.75",21,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"40",5,"Tmp_22_25_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"41",5,"Tmp_22_25_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"42",5,"Tmp_22_25_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"43",5,"Tmp_25_28_Nut0.01",28,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"44",5,"Tmp_25_28_Nut0.35",28,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"45",5,"Tmp_25_28_Nut0.75",28,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"46",6,"Tmp_18_21_Nut0.01",21,0.01,1.05816577510297,0,"Colpidium_Dexiostoma","CD",2
"47",6,"Tmp_18_21_Nut0.35",21,0.35,1.0001547336875,0,"Colpidium_Dexiostoma","CD",2
"48",6,"Tmp_18_21_Nut0.75",21,0.75,1.03810052123078,0.349737322756287,"Colpidium_Dexiostoma","CD",2
"49",6,"Tmp_22_25_Nut0.01",25,0.01,1.13817141995113,0,"Colpidium_Dexiostoma","CD",2
"50",6,"Tmp_22_25_Nut0.35",25,0.35,1.18089853310021,0,"Colpidium_Dexiostoma","CD",2
"51",6,"Tmp_22_25_Nut0.75",25,0.75,1.18015578390679,0,"Colpidium_Dexiostoma","CD",2
"52",6,"Tmp_25_28_Nut0.01",28,0.01,1.34277781286043,0.105937093963551,"Colpidium_Dexiostoma","CD",2
