treatment,richness,composition,mean_divergence,temperature,nutrients,species,replicate,sample_ID
Tmp_18_21_Nut0.01,2,LS,0,18-21 ,0.01,Loxo_Spiro,1,LS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,2,LS,0,18-21 ,0.01,Loxo_Spiro,2,LS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,2,LS,0,18-21 ,0.01,Loxo_Spiro,3,LS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,2,DS,0.128986393385261,18-21 ,0.01,Dexio_Spiro,1,DS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,2,DS,0.128986393385261,18-21 ,0.01,Dexio_Spiro,2,DS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,2,DS,0.128986393385261,18-21 ,0.01,Dexio_Spiro,3,DS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,2,DP,0.307934787885008,18-21 ,0.01,Dexio_Para,1,DP_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,2,DP,0.307934787885008,18-21 ,0.01,Dexio_Para,2,DP_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,2,DP,0.307934787885008,18-21 ,0.01,Dexio_Para,3,DP_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,3,CLS,0,18-21 ,0.01,Colp_Loxo_Spiro,1,CLS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,3,CLS,0,18-21 ,0.01,Colp_Loxo_Spiro,2,CLS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,3,CLS,0,18-21 ,0.01,Colp_Loxo_Spiro,3,CLS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,3,CLP,0.296541791670918,18-21 ,0.01,Colp_Loxo_Para,1,CLP_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,3,CLP,0.296541791670918,18-21 ,0.01,Colp_Loxo_Para,2,CLP_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,3,CLP,0.296541791670918,18-21 ,0.01,Colp_Loxo_Para,3,CLP_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,3,DPS,0.433811102545816,18-21 ,0.01,Dexio_Para_Spiro,1,DPS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,3,DPS,0.433811102545816,18-21 ,0.01,Dexio_Para_Spiro,2,DPS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,3,DPS,0.433811102545816,18-21 ,0.01,Dexio_Para_Spiro,3,DPS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,4,CDLS,0.0258632235188553,18-21 ,0.01,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,4,CDLS,0.0258632235188553,18-21 ,0.01,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,4,CDLS,0.0258632235188553,18-21 ,0.01,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,4,CLPS,0.304824709160555,18-21 ,0.01,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,4,CLPS,0.304824709160555,18-21 ,0.01,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,4,CLPS,0.304824709160555,18-21 ,0.01,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_18_21_Nut0.01_3
Tmp_18_21_Nut0.01,4,CDPS,0.334437338144019,18-21 ,0.01,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_18_21_Nut0.01_1
Tmp_18_21_Nut0.01,4,CDPS,0.334437338144019,18-21 ,0.01,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_18_21_Nut0.01_2
Tmp_18_21_Nut0.01,4,CDPS,0.334437338144019,18-21 ,0.01,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_18_21_Nut0.01_3
